"Time [s]","Process load","System load"
423.16,10.55,20.95
424.17,10.37,21
425.17,8.03,17.51
426.17,8.84,20.67
427.17,7.42,17.84
428.17,8.45,22
429.18,9.21,18.55
430.18,8.97,21.32
431.18,8.02,16.32
432.19,8.59,17.17
433.19,9.34,21.93
434.19,8.03,17.77
435.2,8.57,15.05
436.2,8.45,19.66
437.2,8.19,16.5
438.2,7.79,20.27
439.21,8.83,17.26
440.21,8.44,13.24
441.21,7.91,19.47
442.22,8.04,19.19
443.22,8.46,13.27
444.22,8.03,18.53
445.23,8.95,16.09
446.23,8.05,13.4
447.23,7.91,18.28
448.24,8.17,15.83
449.24,8.7,19.36
450.24,8.42,15.43
451.24,8.85,15.1
452.24,8.46,17.57
453.24,8.33,19.27
454.25,10.1,15.82
455.25,7.78,19.19
456.26,9.08,16.33
457.42,9.16,17.21
458.42,8.08,18.37
459.43,8.68,18.79
460.43,8.45,13.66
461.43,9.34,18.69
462.43,8.45,14.96
463.44,9.21,15.83
464.44,8.05,19.36
465.44,9.08,15.84
466.45,8.03,14.52
467.45,8.55,19.42
468.46,8.18,12.35
469.46,12.2,20.24
470.46,8.85,18.35
471.46,8.96,15.59
472.46,8.59,19.77
473.47,8.68,16.6
474.47,8.56,14.52
475.48,9.09,19.1
476.48,9.99,17.77
477.48,8.43,17.39
478.48,8.85,19.4
479.49,8.03,15.03
480.49,8.2,15.62
481.49,10.66,19.9
482.49,9.47,16.34
483.5,11.32,21.35
484.5,9.34,16.74
485.5,8.84,13.52
486.5,12.07,22.97
487.5,8.2,17.45
488.51,8.06,14.7
489.51,8.94,17.5
490.51,8.56,15.57
491.52,8.57,15.85
492.52,8.44,18.43
493.52,9.33,19.71
494.52,8.71,14.82
495.77,8.68,17.06
496.77,9.87,16.76
497.77,8.45,14.43
498.78,9.47,20.77
499.78,8.81,15.95
500.78,8.69,16.48
501.79,8.43,16.6
502.79,8.84,17.04
503.79,9.63,16.01
504.79,10.38,21.16
505.8,8.42,16.06
506.8,10.37,21
507.81,11.26,20.2
508.81,9.35,15.85
509.81,7.94,17.83
510.81,8.31,16.5
512.0,9.54,19.52
513.0,7.94,14.2
514.0,12.22,22.63
515.01,16.61,26.22
516.01,9.61,18.06
517.17,8.88,18.9
518.17,4.28,17.26
519.17,9.24,17.18
520.17,9.35,17.8
521.32,8.98,15.91
522.32,8.3,15.82
523.33,8.44,22.08
524.33,10,17.15
525.33,8.43,15.68
526.34,7.93,17.43
527.34,8.7,16.1
528.34,7.92,16.5
529.34,7.94,18.22
530.34,8.3,13.09
531.35,8.18,17.14
532.58,8.02,20.8
533.58,9.1,15.47
534.59,11.29,19.99
535.59,8.56,18.28
536.6,9.26,17.36
537.6,9.88,18.47
538.61,8.33,19.26
539.61,10.15,23.57
540.87,10.57,21.56
541.88,7.41,18.83
542.88,8.06,15.48
543.88,8.31,17.79
545.15,9.95,17.15
546.15,8.72,17.31
547.15,7.92,15.72
548.15,8.45,18.07
549.16,8.05,13.64
550.16,7.8,16.51
551.16,8.44,19.36
552.37,7.66,14.57
553.37,7.91,17.13
554.37,8.45,15.6
555.38,8.94,16.99
556.38,8.3,15.69
557.38,7.93,17.16
558.39,8.3,14.15
559.43,8.33,17.16
560.44,9.08,19.34
561.44,7.94,15.36
562.44,8.58,17.42
563.44,10.25,21.29
564.45,8.05,12.85
565.45,8.04,18.41
566.46,8.94,18.28
567.46,8.31,14.28
568.46,8.16,18.29
569.46,8.46,17.7
570.47,8.3,15.44
571.47,8.44,26.86
572.47,8.83,17.02
573.47,8.2,17.31
574.48,7.54,17.04
575.48,8.19,16
576.48,8.69,15.57
577.74,8.49,15.95
578.74,8.32,15.09
579.74,8.07,18.61
580.74,8.07,18.88
581.74,7.8,13.15
582.74,8.57,17.26
583.75,7.78,16.35
584.96,7.69,13.36
585.97,8.06,16.65
586.97,8.33,19
587.97,8.19,15.86
588.97,8.03,17.75
589.97,8.2,16.42
590.98,8.29,12.43
591.98,8.33,17.83
592.98,8.31,18.84
593.99,7.65,16.34
594.99,8.31,17.53
595.99,10.01,17.04
596.99,8.06,14.31
597.99,8.19,18.98
599.0,7.65,19.19
600.0,8.56,13.86
601.0,7.8,17.69
602.0,8.06,15.22
603.01,8.05,14.14
604.01,8.31,18.71
605.01,9.35,20.14
606.02,11.41,24.51
607.02,26.39,34.34
608.02,20.31,25.39
609.02,9.88,21.85
610.03,9.34,18.3
611.03,10.91,16.75
612.03,9.24,19.01
613.03,9.33,17.11
614.04,14.79,21.27
615.04,9.21,17.26
616.05,13.89,22.45
617.05,9.6,19.2
618.05,10.14,19.64
619.05,9.62,14.56
620.05,9.62,18.59
621.22,12.15,20.62
622.22,8.63,17.9
623.22,12.35,19.51
624.22,8.72,17.57
625.22,8.96,15.33
626.22,8.45,16.78
627.22,8.98,17.83
628.23,8.71,14.05
629.23,8.96,17.8
630.23,8.71,17.55
631.23,8.3,12.32
632.24,8.68,19.56
633.24,11.69,17.53
634.24,7.54,12.74
